,Count,Token,Price,7days_cum_sum,7days_acc_rate,price_change
2018-03-20,51,RCN,0.09841,16288,1.5%,-5.7%
2018-05-20,13,RCN,0.1162,19536,1.5%,-9.6%
2018-04-01,21,RCN,0.07482,16749,1.4%,-34.9%
2020-05-06,118,RCN,0.08,40684,1.4%,11.1%
2018-02-08,14,RCN,0.1772,15156,1.4%,-13.9%
2018-11-21,13,RCN,0.01623,23699,1.4%,-40.1%
2019-10-26,97,RCN,0.0389,32524,1.4%,5.9%
2018-11-20,16,RCN,0.015,23686,1.4%,-52.9%
2020-05-19,41,RCN,0.08587,42805,1.4%,-2.5%
2018-03-04,23,RCN,0.1428,15815,1.4%,1.0%
2019-03-05,33,RCN,0.024,25698,1.4%,17.5%
2019-10-03,62,RCN,0.04087,31290,1.4%,-5.9%
2018-03-03,23,RCN,0.1434,15792,1.4%,-0.6%
2018-09-22,22,RCN,0.03027,22325,1.4%,31.7%
2018-11-19,21,RCN,0.01819,23670,1.4%,-46.6%
2019-11-02,37,RCN,0.046689999999999995,32973,1.4%,20.0%
2018-09-21,38,RCN,0.03499,22303,1.4%,84.0%
2018-03-02,29,RCN,0.15,15769,1.4%,-2.5%
2019-09-21,112,RCN,0.03563,30289,1.4%,177.1%
2018-03-01,32,RCN,0.1471,15740,1.3%,0.0%
2018-11-18,109,RCN,0.0246,23649,1.3%,-25.1%
2019-03-06,32,RCN,0.0212,25730,1.3%,12.9%
2018-02-13,32,RCN,0.1803,15307,1.3%,13.8%
2020-05-05,78,RCN,0.07522000000000001,40566,1.3%,9.5%
2018-02-28,33,RCN,0.135,15708,1.3%,-15.1%
2018-02-09,22,RCN,0.1883,15178,1.3%,-1.0%
2018-02-12,37,RCN,0.1949,15275,1.3%,43.1%
2018-03-10,28,RCN,0.1023,15999,1.3%,-28.7%
2018-03-11,23,RCN,0.1083,16022,1.3%,-24.2%
2018-02-15,26,RCN,0.185,15354,1.3%,4.4%
2018-11-23,13,RCN,0.014780000000000001,23730,1.3%,-35.5%
2019-10-04,48,RCN,0.040010000000000004,31338,1.3%,-2.3%
2018-03-06,37,RCN,0.1486,15879,1.3%,3.2%
2019-10-07,74,RCN,0.04018,31496,1.3%,18.5%
2018-03-05,27,RCN,0.1472,15842,1.3%,-0.1%
2018-02-16,20,RCN,0.1937,15374,1.3%,2.9%
2018-02-10,34,RCN,0.1733,15212,1.3%,-16.3%
2018-03-09,33,RCN,0.1142,15971,1.3%,-23.9%
2018-04-04,34,RCN,0.08599,16844,1.3%,-14.3%
2018-11-22,18,RCN,0.015,23717,1.3%,-34.2%
2018-05-21,21,RCN,0.1083,19557,1.3%,-17.4%
2020-05-02,77,RCN,0.07167000000000001,40364,1.3%,-0.5%
2018-04-03,41,RCN,0.0885,16810,1.3%,-6.4%
2020-05-20,60,RCN,0.08252999999999999,42865,1.3%,-2.4%
2018-09-20,29,RCN,0.03149,22265,1.3%,52.1%
2019-10-05,47,RCN,0.04118,31385,1.3%,16.4%
2018-03-08,35,RCN,0.1143,15938,1.3%,-22.3%
2018-02-26,45,RCN,0.1474,15640,1.3%,-18.0%
2019-10-08,54,RCN,0.05103,31550,1.3%,19.6%
2019-11-03,45,RCN,0.04326,33018,1.3%,22.2%
2020-05-03,60,RCN,0.07019,40424,1.3%,-0.5%
2018-09-23,15,RCN,0.028999999999999998,22340,1.3%,15.6%
2020-05-04,64,RCN,0.07212,40488,1.3%,5.6%
2019-10-10,72,RCN,0.0422,31681,1.2%,3.3%
2019-10-11,48,RCN,0.0393,31729,1.2%,-1.8%
2018-02-27,35,RCN,0.14400000000000002,15675,1.2%,-8.0%
2018-02-11,26,RCN,0.1737,15238,1.2%,2.5%
2018-04-05,31,RCN,0.0841,16875,1.2%,-2.8%
2018-03-07,24,RCN,0.1253,15903,1.2%,-7.2%
2018-03-19,35,RCN,0.0921,16237,1.2%,-13.8%
2019-10-06,37,RCN,0.03713,31422,1.2%,13.9%
