,Count,Token,Price,7days_cum_sum,7days_acc_rate,price_change
2019-01-24,13,AID,0.032189999999999996,3520,3.7%,32.7%
2019-01-25,15,AID,0.0265,3535,3.7%,-5.4%
2019-01-23,27,AID,0.026680000000000002,3507,3.7%,18.8%
2018-06-02,5,AID,0.1897,1296,3.7%,-0.2%
2019-01-28,15,AID,0.02544,3566,3.6%,-1.2%
2018-12-20,14,AID,0.0223,3109,3.5%,-0.4%
2018-10-20,33,AID,0.0495,1708,3.5%,-4.8%
2019-01-22,39,AID,0.0305,3480,3.2%,45.0%
2018-05-14,2,AID,0.1339,716,3.2%,-11.9%
2018-06-04,8,AID,0.1686,1308,3.2%,5.3%
2018-12-24,19,AID,0.0245,3164,3.1%,-2.0%
2018-12-23,9,AID,0.0223,3145,3.1%,-9.1%
2018-12-21,16,AID,0.02079,3125,3.1%,-15.0%
2018-06-06,8,AID,0.1645,1318,3.0%,0.9%
2018-12-22,11,AID,0.022369999999999998,3136,3.0%,-1.3%
2018-11-21,35,AID,0.027000000000000003,2547,2.9%,-46.5%
2018-05-15,5,AID,0.1202,721,2.9%,-21.6%
2018-06-03,4,AID,0.1815,1300,2.8%,-5.9%
2018-06-05,2,AID,0.1691,1310,2.8%,5.0%
2018-12-26,12,AID,0.0212,3181,2.8%,-9.9%
2019-01-18,16,AID,0.027999999999999997,3409,2.7%,40.0%
2018-12-27,12,AID,0.0207,3193,2.7%,-7.2%
2018-12-25,5,AID,0.022000000000000002,3169,2.7%,-12.0%
2019-01-29,7,AID,0.0295,3573,2.7%,-3.3%
2018-06-07,3,AID,0.159,1321,2.6%,-9.2%
2019-01-17,11,AID,0.02426,3393,2.6%,10.3%
2019-01-15,16,AID,0.02104,3372,2.6%,-4.4%
2019-01-19,6,AID,0.025,3415,2.6%,31.4%
2019-01-21,20,AID,0.02576,3441,2.5%,21.2%
2019-01-16,10,AID,0.02245,3382,2.5%,-6.0%
2018-12-30,14,AID,0.0172,3223,2.5%,-22.9%
2018-12-28,8,AID,0.021830000000000002,3201,2.4%,5.0%
2019-01-20,6,AID,0.025,3421,2.3%,-7.4%
2018-12-29,8,AID,0.0225,3209,2.3%,0.6%
2019-01-01,8,AID,0.02,3240,2.2%,-9.1%
2019-01-14,13,AID,0.02126,3356,2.2%,-34.2%
2018-07-30,9,AID,0.1235,1512,2.2%,7.4%
2018-12-31,9,AID,0.01721,3232,2.1%,-29.8%
2019-01-04,14,AID,0.021230000000000002,3267,2.1%,-2.7%
2019-01-02,6,AID,0.01711,3246,2.0%,-19.3%
2019-01-13,13,AID,0.027000000000000003,3343,2.0%,15.0%
2018-06-09,1,AID,0.1533,1322,2.0%,-19.2%
2019-01-30,4,AID,0.02556,3577,2.0%,-4.2%
2019-01-05,4,AID,0.02137,3271,1.9%,-5.0%
2018-07-31,3,AID,0.1212,1515,1.9%,-6.0%
2019-01-03,7,AID,0.021330000000000002,3253,1.9%,3.0%
2018-07-18,9,AID,0.1221,1470,1.9%,16.3%
2018-07-19,3,AID,0.1293,1473,1.9%,19.2%
2018-07-20,4,AID,0.1212,1477,1.9%,11.2%
2018-07-22,1,AID,0.1225,1479,1.9%,12.4%
2019-01-12,11,AID,0.019030000000000002,3330,1.8%,-10.9%
2019-01-31,6,AID,0.031580000000000004,3583,1.8%,-1.9%
2018-07-24,7,AID,0.129,1487,1.8%,4.3%
2018-06-10,1,AID,0.1181,1323,1.8%,-34.9%
2018-06-17,4,AID,0.1139,1346,1.7%,-3.6%
2018-06-30,4,AID,0.1,1419,1.7%,-18.1%
2019-02-13,11,AID,0.036000000000000004,3687,1.7%,17.8%
2018-07-26,6,AID,0.1159,1498,1.7%,-10.4%
2019-02-11,8,AID,0.036289999999999996,3667,1.7%,74.5%
2019-01-10,9,AID,0.022000000000000002,3308,1.7%,3.1%
2019-01-06,6,AID,0.023469999999999998,3277,1.7%,36.5%
2018-08-17,3,AID,0.05956,1555,1.6%,-25.5%
2019-01-09,11,AID,0.023880000000000002,3299,1.6%,39.6%
2018-07-29,2,AID,0.1253,1503,1.6%,2.3%
2019-01-07,7,AID,0.0323,3284,1.6%,87.7%
2019-02-12,9,AID,0.03635,3676,1.6%,8.4%
2019-02-14,6,AID,0.036160000000000005,3693,1.6%,3.3%
2019-01-11,11,AID,0.02,3319,1.6%,-5.8%
2019-02-08,10,AID,0.03595,3645,1.6%,39.2%
